conference_id	conference	panel_id	panel	paper_id	paper	author	affiliation
94	gc-2015	3868	Theorising Noncitizenship	24253	Theorising Noncitizenship: Concepts, Debates and Challenges	Tendayi Bloom	The Open University
94	gc-2015	3868	Theorising Noncitizenship	24253	Theorising Noncitizenship: Concepts, Debates and Challenges	Katherine Tonkiss	Aston University
94	gc-2015	3868	Theorising Noncitizenship	24255	These Fine Lines:  Locating Non-Citizenship in Political Protest in Europe	Heather Johnson	Queen's University Belfast
94	gc-2015	3868	Theorising Noncitizenship	25422	Non-Citizens in the Mediterranean Sea: Adrift and Abandoned?	Alessandra Von Burg	Wake Forest University
94	gc-2015	3870	Consideration Set Models for Party Choice in Multi-Party Elections	24265	Finding the Tie-Breakers: The Formation of Consideration Set and Final Party Choice	Maria Oskarson	University of Gothenburg
94	gc-2015	3870	Consideration Set Models for Party Choice in Multi-Party Elections	24265	Finding the Tie-Breakers: The Formation of Consideration Set and Final Party Choice	Henrik Oscarsson	University of Gothenburg
94	gc-2015	3870	Consideration Set Models for Party Choice in Multi-Party Elections	24265	Finding the Tie-Breakers: The Formation of Consideration Set and Final Party Choice	Edvin Boije	University of Gothenburg
94	gc-2015	3870	Consideration Set Models for Party Choice in Multi-Party Elections	24266	Heterogeneous Campaign Effects in the German Multi-party System? An Empirical Test of Consideration Set Models	Markus Steinbrecher	Bundeswehr Center for Military History and Social Sciences
94	gc-2015	3870	Consideration Set Models for Party Choice in Multi-Party Elections	24267	Varieties of Issue Voting: A Choice Set Approach	Marco Steenbergen	University of Zurich
94	gc-2015	3870	Consideration Set Models for Party Choice in Multi-Party Elections	24268	The Electoral Effects of Voting Advice Applications: The Role of Consideration Sets	Martin Rosema	Universiteit Twente
94	gc-2015	3882	Federalism, Regionalism and the Governance of Diversity in Europe and Beyond 2	24224	Economic and Monetary Union: Between Federalism and Hegemony	Gilles Pittoors	Ghent University
94	gc-2015	3882	Federalism, Regionalism and the Governance of Diversity in Europe and Beyond 2	24399	Theoretically Strong, Empirically Weak? The Intergovernmental Safeguard in Theory and Practice	Johanna Schnabel	University of Kent
94	gc-2015	3882	Federalism, Regionalism and the Governance of Diversity in Europe and Beyond 2	24741	Beyond the Institutional Deficit: Understanding the Drivers of Centre-Periphery Tensions in Spain	Jean-Baptiste Harguindéguy	Universidad Pablo de Olavide
94	gc-2015	3882	Federalism, Regionalism and the Governance of Diversity in Europe and Beyond 2	24741	Beyond the Institutional Deficit: Understanding the Drivers of Centre-Periphery Tensions in Spain	Emilio Rodríguez López	Universidad Pablo de Olavide
94	gc-2015	3882	Federalism, Regionalism and the Governance of Diversity in Europe and Beyond 2	25692	Multilevel Citizenship: Regional Polities and the Structuring of Civil Rights	Lorenzo Piccoli	European University Institute
94	gc-2015	3883	Human Rights and Dignity	24307	Human Dignity: ‘I Know it When I See it’	Adam Etinson	University of St Andrews
94	gc-2015	3883	Human Rights and Dignity	24308	Why Dignity Matters for the Theory and Practice of Human Rights	Pablo Gilabert	Concordia University
94	gc-2015	3883	Human Rights and Dignity	24309	Refiguring Dignity as Relational and Embodied	Carol Gould	City University of New York
94	gc-2015	3883	Human Rights and Dignity	24310	Dignity, Torture, and Human Rights	Suzy Killmister	University of Connecticut
94	gc-2015	3883	Human Rights and Dignity	25686	Human Rights and Human Dignity: A Non-Political Conception	Gavin Morrison	Department of Political Science, Trinity College Dublin
94	gc-2015	3995	Ideas in the Global Governance of Knowledge	24369	Breakthroughs and Excellence: Between Science and Economy	Mitchell Young	Charles University
