conference_id	conference	panel_id	panel	paper_id	paper	author	affiliation
129	js-2020	8458	Emotional Public Policy: Understanding Feeling and Thinking Interactions in the Policy Process	48182	The Canary in the Coal Mine: Mythical Institutions, Shared Vulnerabilities, Emotions, and Nonlinear Dynamics in Politics and Policy	Moshe Maor	Hebrew University of Jerusalem
129	js-2020	8458	Emotional Public Policy: Understanding Feeling and Thinking Interactions in the Policy Process	48213	Mapping the Emotional Landscape of Consultation Contributions	Simon Fink	Georg-August-Universität Göttingen
129	js-2020	8458	Emotional Public Policy: Understanding Feeling and Thinking Interactions in the Policy Process	48213	Mapping the Emotional Landscape of Consultation Contributions	Eva Ruffing	Osnabrück University
129	js-2020	8458	Emotional Public Policy: Understanding Feeling and Thinking Interactions in the Policy Process	48223	Regulation Strategies for Conflicting Emotions: Obama’s Quandaries on the Red Line and the Fight Against ISIS	Philippe Beauregard	Freie Universität Berlin
129	js-2020	8458	Emotional Public Policy: Understanding Feeling and Thinking Interactions in the Policy Process	48477	Emotional Advocacy in EU External Border Control	Trineke Palm	University of Utrecht
129	js-2020	8458	Emotional Public Policy: Understanding Feeling and Thinking Interactions in the Policy Process	48519	Notre-Dame De Paris, Worldwide Emotion Shaping National and European Heritage Policy	Anne-Laure Riotte	Université Paris II Panthéon-Assas
129	js-2020	8458	Emotional Public Policy: Understanding Feeling and Thinking Interactions in the Policy Process	48585	The Role of Emotions in Policy Process Research – A Mechanismic Perspective	Johanna Kuhlmann	Universität Bremen
129	js-2020	8458	Emotional Public Policy: Understanding Feeling and Thinking Interactions in the Policy Process	48604	The Role of Emotional Entrepreneurs in Health Policy Reforms During the Greek Bailouts: What Makes Reform Successful and Why?	Theofanis Exadaktylos	University of Surrey
129	js-2020	8458	Emotional Public Policy: Understanding Feeling and Thinking Interactions in the Policy Process	48708	Leadership Evaluations in Times of Crisis: The Case of Chancellor Angela Merkel and the Recent Migration Debate	Oul Han	Universität Koblenz-Landau
129	js-2020	8458	Emotional Public Policy: Understanding Feeling and Thinking Interactions in the Policy Process	48708	Leadership Evaluations in Times of Crisis: The Case of Chancellor Angela Merkel and the Recent Migration Debate	Lena Masch	Heinrich-Heine-Universität Düsseldorf
129	js-2020	8458	Emotional Public Policy: Understanding Feeling and Thinking Interactions in the Policy Process	48720	Feel Confidence, Feel Trust: Emotional Strategies of Managing Uncertainties During Policy Evaluation and Practice	Tereza Capelos	University of Birmingham
129	js-2020	8458	Emotional Public Policy: Understanding Feeling and Thinking Interactions in the Policy Process	48720	Feel Confidence, Feel Trust: Emotional Strategies of Managing Uncertainties During Policy Evaluation and Practice	Colin Provost	University College London
129	js-2020	8458	Emotional Public Policy: Understanding Feeling and Thinking Interactions in the Policy Process	48752	Brand Management for Crisis: Tourism, Security, and Narrative Control in Post-Terror Contexts	Kimberly Tower	American University
129	js-2020	8458	Emotional Public Policy: Understanding Feeling and Thinking Interactions in the Policy Process	48790	Neuroscience in Political Science: a New Approach to Research into Political Behaviour?	Elba Maneiro	Universidad Santiago de Compostela
129	js-2020	8462	Freedom of Speech: How Much is Too Much?	48101	Universities and Media: New Strategies to Engage Local Chinese Communities	Claudia Astarita	Sciences Po Paris
129	js-2020	8462	Freedom of Speech: How Much is Too Much?	48130	The Paradox of Tolerance, Intolerant Speakers, and Active Audiences	Corrado Fumagalli	LUISS University
129	js-2020	8462	Freedom of Speech: How Much is Too Much?	48239	Hate Speech Laws: Expressive Power Is Not the Answer	Maxime Lepoutre	University of Oxford
129	js-2020	8462	Freedom of Speech: How Much is Too Much?	48344	Limiting Free Speech: A Framework for Discussion	Richard Katz	Johns Hopkins University
129	js-2020	8462	Freedom of Speech: How Much is Too Much?	48344	Limiting Free Speech: A Framework for Discussion	Teresa Bejan	University of Oxford
129	js-2020	8462	Freedom of Speech: How Much is Too Much?	48398	Should Democracies Ban Hate Speech?	Enes Kulenovic	University of Zagreb
129	js-2020	8462	Freedom of Speech: How Much is Too Much?	48675	Online Political Incivility in Hungary. What is Beyond the Norm Violation Approach?	Gabriella Szabo	Centre for Social Sciences, Hungarian Academy of Sciences
129	js-2020	8462	Freedom of Speech: How Much is Too Much?	48675	Online Political Incivility in Hungary. What is Beyond the Norm Violation Approach?	Zoltán Kmetty	Centre for Social Sciences, Hungarian Academy of Sciences
129	js-2020	8462	Freedom of Speech: How Much is Too Much?	48675	Online Political Incivility in Hungary. What is Beyond the Norm Violation Approach?	Emese K. Molnár	Eötvös Loránd University
129	js-2020	8462	Freedom of Speech: How Much is Too Much?	48775	Student Experience of Freedom of Expression in UK Universities	Kirstie Hewlett	Kings College London
129	js-2020	8462	Freedom of Speech: How Much is Too Much?	48775	Student Experience of Freedom of Expression in UK Universities	Jonathan Grant	Kings College London
129	js-2020	8462	Freedom of Speech: How Much is Too Much?	48821	Responding to Hate Speech Against Migrants in Media	Xiuling Ye	Vrije Universiteit Brussel
129	js-2020	8462	Freedom of Speech: How Much is Too Much?	48823	The Limits of Free Speech: Reflections on the Ambivalent Power of Words	Vanessa Wintermantel	WZB Berlin Social Science Center
129	js-2020	8462	Freedom of Speech: How Much is Too Much?	48883	Critical Civility: A Critical Republican Approach to Harmful Speech	Suzanne Whitten	University of Limerick
129	js-2020	8462	Freedom of Speech: How Much is Too Much?	53528	Free Expression or Equal Speech	Teresa Bejan	University of Oxford
129	js-2020	8475	Political Ideologies and Political Identities in Post-Atrocity Transitions	48157	When Making Peace is More Difficult Than Making War: Legacies of War and Ideological Biases Within Colombian Soldiers	Alejandra Ortiz-Ayala	University of Otago
129	js-2020	8475	Political Ideologies and Political Identities in Post-Atrocity Transitions	48187	Understanding Post-Atrocity Transition in Guatemala: Continuities and Ruptures with Past Ideology	Roddy Brett	University of Bristol
129	js-2020	8475	Political Ideologies and Political Identities in Post-Atrocity Transitions	48247	Collaboration Under Communism – In Between Opportunism, Identity, and Ideology	Barbora Hola	Vrije Universiteit Amsterdam
129	js-2020	8475	Political Ideologies and Political Identities in Post-Atrocity Transitions	48247	Collaboration Under Communism – In Between Opportunism, Identity, and Ideology	Mark Drumbl	Washington & Lee University
129	js-2020	8475	Political Ideologies and Political Identities in Post-Atrocity Transitions	48301	Social Scientific Theories of Ideological and Identity Change	Jonathan Leader Maynard	Kings College London
129	js-2020	8475	Political Ideologies and Political Identities in Post-Atrocity Transitions	48347	Identity, Memory, Politics in Post-Atrocity Cambodia and Rwanda	Timothy Williams	Universität der Bundeswehr München
129	js-2020	8475	Political Ideologies and Political Identities in Post-Atrocity Transitions	48355	Contested Memories: Post-Atrocity Identity Construction Between the State, Civil Society, and the Internet	David Simon	Yale University
129	js-2020	8475	Political Ideologies and Political Identities in Post-Atrocity Transitions	48388	Justification of Atrocities: Israeli and Palestinian Political Ideologies in Motion	Timea Spitka	Masaryk University
